证券代码,买卖标志,委托价格,委托数量
301388,B,32.06,900
301024,B,58.16,500
601003,B,4.8,6300
603316,B,10.56,2800
300847,B,21.31,1400
002987,B,25.89,1100
603716,B,22.76,1300
301176,B,31.93,900
301389,B,32.73,900
002579,B,15.05,2000
510300,B,0.0,149470
511010,B,0.0,700
