证券代码,买卖标志,委托价格,委托数量
300600,B,15.71,1900
301357,B,96.41,300
002992,B,64.3,400
002882,B,39.9,700
002579,B,15.3,1900
603928,B,19.99,1500
301678,B,59.79,500
300697,B,14.57,2000
002878,B,23.51,1200
300591,B,11.36,2600
510300,B,0.0,150670
511010,B,0.0,700
